Source,Target,Type,Weight
300,25,Undirected,1
10,10,Undirected,1
294,172,Undirected,1
309,311,Undirected,1
120,285,Undirected,1
260,69,Undirected,1
34,355,Undirected,1
350,310,Undirected,1
17,237,Undirected,1
230,69,Undirected,1
161,310,Undirected,1
198,324,Undirected,1
314,311,Undirected,1
146,138,Undirected,1
11,310,Undirected,1
180,237,Undirected,1
197,310,Undirected,1
99,66,Undirected,1
228,311,Undirected,1
86,313,Undirected,1
255,310,Undirected,1
307,293,Undirected,1
85,1,Undirected,1
70,232,Undirected,1
264,237,Undirected,1
179,69,Undirected,1
248,281,Undirected,1
284,82,Undirected,1
309,291,Undirected,1
259,103,Undirected,1
214,354,Undirected,1
208,311,Undirected,1
2,310,Undirected,1
224,115,Undirected,1
27,296,Undirected,1
46,1,Undirected,1
35,338,Undirected,1
146,68,Undirected,1
99,242,Undirected,1
243,310,Undirected,1
26,181,Undirected,1
270,310,Undirected,1
188,257,Undirected,1
355,103,Undirected,1
331,323,Undirected,1
274,296,Undirected,1
174,311,Undirected,1
184,343,Undirected,1
188,114,Undirected,1
267,217,Undirected,1
199,135,Undirected,1
54,237,Undirected,1
247,167,Undirected,1
203,237,Undirected,1
26,160,Undirected,1
158,237,Undirected,1
172,142,Undirected,1
206,310,Undirected,1
226,90,Undirected,1
192,124,Undirected,1
249,29,Undirected,1
331,324,Undirected,1
50,1,Undirected,1
89,296,Undirected,1
137,115,Undirected,1
199,199,Undirected,1
248,186,Undirected,1
286,175,Undirected,1
267,41,Undirected,1
247,145,Undirected,1
74,310,Undirected,1
165,319,Undirected,1
254,242,Undirected,1
201,260,Undirected,1
233,58,Undirected,1
234,310,Undirected,1
10,123,Undirected,1
173,346,Undirected,1
355,280,Undirected,1
318,25,Undirected,1
355,7,Undirected,1
240,115,Undirected,1
248,41,Undirected,1
187,115,Undirected,1
178,310,Undirected,1
201,171,Undirected,1
229,310,Undirected,1
56,296,Undirected,1
18,310,Undirected,1
127,258,Undirected,1
159,41,Undirected,1
13,115,Undirected,1
91,310,Undirected,1
111,311,Undirected,1
309,296,Undirected,1
170,311,Undirected,1
222,237,Undirected,1
165,98,Undirected,1
276,310,Undirected,1
288,288,Undirected,1
113,237,Undirected,1
307,41,Undirected,1
130,115,Undirected,1
348,310,Undirected,1
45,115,Undirected,1
150,115,Undirected,1
48,115,Undirected,1
109,69,Undirected,1
35,118,Undirected,1
355,115,Undirected,1
158,287,Undirected,1
102,8,Undirected,1
163,310,Undirected,1
103,103,Undirected,1
209,313,Undirected,1
353,1,Undirected,1
72,280,Undirected,1
260,260,Undirected,1
77,125,Undirected,1
133,205,Undirected,1
30,25,Undirected,1
303,310,Undirected,1
269,296,Undirected,1
72,7,Undirected,1
252,311,Undirected,1
274,237,Undirected,1
77,277,Undirected,1
189,311,Undirected,1
104,310,Undirected,1
70,311,Undirected,1
119,115,Undirected,1
78,115,Undirected,1
304,310,Undirected,1
21,69,Undirected,1
233,278,Undirected,1
355,355,Undirected,1
105,310,Undirected,1
328,310,Undirected,1
227,310,Undirected,1
158,193,Undirected,1
135,135,Undirected,1
305,311,Undirected,1
143,290,Undirected,1
209,209,Undirected,1
151,69,Undirected,1
355,315,Undirected,1
156,310,Undirected,1
195,1,Undirected,1
70,261,Undirected,1
212,266,Undirected,1
122,310,Undirected,1
157,310,Undirected,1
247,176,Undirected,1
236,237,Undirected,1
47,319,Undirected,1
32,237,Undirected,1
250,310,Undirected,1
35,297,Undirected,1
16,310,Undirected,1
200,310,Undirected,1
158,57,Undirected,1
233,340,Undirected,1
352,115,Undirected,1
222,311,Undirected,1
56,237,Undirected,1
235,67,Undirected,1
214,126,Undirected,1
322,115,Undirected,1
117,311,Undirected,1
0,312,Undirected,1
46,65,Undirected,1
107,310,Undirected,1
173,173,Undirected,1
199,333,Undirected,1
335,311,Undirected,1
275,115,Undirected,1
279,110,Undirected,1
267,329,Undirected,1
286,144,Undirected,1
127,316,Undirected,1
19,301,Undirected,1
199,71,Undirected,1
221,82,Undirected,1
106,1,Undirected,1
36,237,Undirected,1
51,310,Undirected,1
95,310,Undirected,1
40,25,Undirected,1
215,311,Undirected,1
347,311,Undirected,1
165,140,Undirected,1
102,62,Undirected,1
306,147,Undirected,1
286,244,Undirected,1
9,310,Undirected,1
4,55,Undirected,1
339,310,Undirected,1
127,351,Undirected,1
10,38,Undirected,1
158,49,Undirected,1
77,245,Undirected,1
188,262,Undirected,1
317,310,Undirected,1
289,288,Undirected,1
52,103,Undirected,1
64,296,Undirected,1
309,44,Undirected,1
143,76,Undirected,1
251,115,Undirected,1
4,334,Undirected,1
191,1,Undirected,1
149,296,Undirected,1
128,310,Undirected,1
248,213,Undirected,1
199,139,Undirected,1
26,124,Undirected,1
158,311,Undirected,1
344,310,Undirected,1
253,311,Undirected,1
152,330,Undirected,1
154,310,Undirected,1
129,115,Undirected,1
355,320,Undirected,1
289,33,Undirected,1
127,216,Undirected,1
190,295,Undirected,1
283,244,Undirected,1
152,268,Undirected,1
218,310,Undirected,1
173,169,Undirected,1
210,115,Undirected,1
279,345,Undirected,1
184,184,Undirected,1
238,310,Undirected,1
249,265,Undirected,1
165,53,Undirected,1
260,171,Undirected,1
308,115,Undirected,1
4,273,Undirected,1
298,20,Undirected,1
133,162,Undirected,1
112,311,Undirected,1
327,324,Undirected,1
233,233,Undirected,1
60,310,Undirected,1
159,63,Undirected,1
31,69,Undirected,1
24,25,Undirected,1
35,325,Undirected,1
302,115,Undirected,1
92,310,Undirected,1
221,87,Undirected,1
34,103,Undirected,1
61,43,Undirected,1
185,1,Undirected,1
249,141,Undirected,1
271,209,Undirected,1
246,196,Undirected,1
39,299,Undirected,1
19,326,Undirected,1
0,22,Undirected,1
159,321,Undirected,1
152,121,Undirected,1
260,292,Undirected,1
39,28,Undirected,1
309,101,Undirected,1
93,311,Undirected,1
155,310,Undirected,1
4,182,Undirected,1
184,83,Undirected,1
102,225,Undirected,1
6,311,Undirected,1
102,285,Undirected,1
96,296,Undirected,1
134,172,Undirected,1
99,223,Undirected,1
26,166,Undirected,1
202,310,Undirected,1
84,311,Undirected,1
19,342,Undirected,1
183,115,Undirected,1
81,237,Undirected,1
73,1,Undirected,1
264,296,Undirected,1
194,115,Undirected,1
108,324,Undirected,1
70,237,Undirected,1
23,320,Undirected,1
279,131,Undirected,1
136,237,Undirected,1
207,310,Undirected,1
97,237,Undirected,1
132,311,Undirected,1
5,296,Undirected,1
146,168,Undirected,1
100,319,Undirected,1
12,124,Undirected,1
263,310,Undirected,1
80,310,Undirected,1
59,310,Undirected,1
3,310,Undirected,1
282,310,Undirected,1
332,296,Undirected,1
172,172,Undirected,1
211,237,Undirected,1
219,69,Undirected,1
267,220,Undirected,1
143,337,Undirected,1
235,14,Undirected,1
239,311,Undirected,1
0,272,Undirected,1
127,204,Undirected,1
190,349,Undirected,1
336,115,Undirected,1
35,116,Undirected,1
42,310,Undirected,1
298,241,Undirected,1
19,79,Undirected,1
246,88,Undirected,1
226,341,Undirected,1
148,351,Undirected,1
231,172,Undirected,1
158,296,Undirected,1
15,115,Undirected,1
37,310,Undirected,1
256,237,Undirected,1
174,237,Undirected,1
70,296,Undirected,1
70,164,Undirected,1
177,310,Undirected,1
153,115,Undirected,1
307,94,Undirected,1
75,310,Undirected,1
